"year","filename","port_complex","area","category","species","check","January","February","March","April","May","June","July","August","September","October","November","December","Total"
2007,"landings07_table14mb.pdf","Morro Bay","Waters North Of State","Mollusks","Squid, jumbo","","128","0","0","0","0","0","0","0","0","115","5","0","248"
2007,"landings07_table14mb.pdf","Morro Bay","Waters North Of State","Mollusks","Squid, market","","0","0","0","0","8","0","0","0","0","0","0","0","8"
2007,"landings07_table14mb.pdf","Morro Bay","Waters North Of State","Mollusks","Whelk, Kellet's","","0","0","33","0","5","11","15","150","0","0","798","0","1,012"
2007,"landings07_table14mb.pdf","Morro Bay","Waters North Of State","Mollusks","Waters Area Total:","","58,527","41,009","55,300","33,721","65,228","49,843","40,756","57,791","102,353","151,494","190,360","53,041","899,434"
2007,"landings07_table14mb.pdf","Morro Bay","Other Waters","Mollusks","ther Waters","","","","","","","","","","","","","",""
2007,"landings07_table14mb.pdf","Morro Bay","Other Waters","Fishes","Fishes","","","","","","","","","","","","","",""
2007,"landings07_table14mb.pdf","Morro Bay","Other Waters","Fishes","Tuna, albacore","","0","0","0","0","0","0","0","0","1,560","0","0","0","1,560"
2007,"landings07_table14mb.pdf","Morro Bay","Other Waters","Fishes","Waters Area Total:","","0","0","0","0","0","0","0","0","1,560","0","0","0","1,560"
2007,"landings07_table14mb.pdf","Morro Bay","Waters North Of State","Fishes","aters North Of State","","","","","","","","","","","","","",""
2007,"landings07_table14mb.pdf","Morro Bay","Waters North Of State","Fishes","Fishes","","","","","","","","","","","","","",""
2007,"landings07_table14mb.pdf","Morro Bay","Waters North Of State","Fishes","Tuna, albacore","","0","0","0","0","0","0","0","0","8,817","0","0","0","8,817"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Fishes","","","","","","","","","","","","","",""
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Cabezon","","733","204","21","0","901","1,120","709","831","1,460","161","466","18","6,624"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Fish, unspecified","","0","12","0","96","906","0","0","0","0","0","0","0","1,014"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Flounder, arrowtooth","","9,743","13,369","4","13,205","12,215","1,212","7,451","19,340","8,311","35,509","4,755","94","125,208"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Flounder, starry","","0","0","0","0","367","515","104","63","284","0","0","26","1,359"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Greenling, kelp","","105","55","0","0","196","112","150","10","0","0","0","0","628"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Grenadier","","150","546","0","0","4,060","5,343","910","13,952","9,443","16,230","1,861","0","52,495"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Hagfishes","","0","0","0","75,694","63,039","96,853","90,567","286,478","157,630","167,218","96,533","0","1,034,012"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Halibut, California","","0","0","0","0","0","0","35","62","32","0","0","0","129"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Halibut, Pacific","","0","0","0","0","0","78","118","0","0","0","0","0","196"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Lingcod","","5,621","2,528","0","2,608","9,173","6,325","10,773","6,807","10,303","5,641","4,199","1,090","65,068"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, China","","118","40","497","230","484","723","389","610","810","111","365","32","4,409"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, Pacific ocean perch","","3","11","0","0","27","0","14","0","0","0","0","0","55"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, aurora","","0","0","0","111","0","0","478","0","0","0","0","0","589"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, black-and-yellow","","0","0","0","0","0","18","11","11","2","0","5","0","47"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, black","","4,422","6,900","14,199","11,816","22,428","22,582","25,281","20,002","17,661","17,777","8,421","1,000","172,488"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, blackgill","","0","0","0","0","383","9","0","0","0","0","0","0","392"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, blue","","2,246","1,568","3,943","458","415","810","2,022","3,316","2,556","2,591","2,917","1,154","23,996"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, bocaccio","","0","0","3","0","11","4","0","0","19","11","0","5","53"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, brown","","0","36","0","0","177","161","218","145","73","5","3","0","817"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, canary","","0","0","0","0","3","0","0","0","2","0","0","0","5"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, chilipepper","","28","0","0","1,001","11,466","423","880","0","2,306","0","0","0","16,104"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, copper","","54","31","355","187","277","936","1,043","780","1,117","286","735","12","5,813"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, darkblotched","","7,114","4,628","0","3,595","5,048","415","472","1,901","1,946","4,378","6,114","1,517","37,128"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, gopher","","3","0","2","2","79","9","9","28","0","0","0","139","271"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, grass","","0","0","0","0","335","106","76","463","175","0","7","0","1,161"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, greenspotted","","0","0","0","0","0","0","4","0","0","0","0","0","4"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, group deep nearshore","","0","50","0","0","0","0","0","0","0","0","0","0","50"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, group shelf","","46","25","14","21","52","248","116","123","234","61","108","30","1,076"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, group slope","","3,012","5,589","13","1,684","4,904","3,272","4,658","3,606","6,047","5,228","2,145","443","40,601"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, group small","","40","0","0","0","0","0","1","0","62","20","0","0","123"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, olive","","79","6","39","0","0","0","0","9","29","4","0","0","166"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, quillback","","242","199","960","598","886","2,100","1,646","1,523","2,168","487","1,121","10","11,940"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, redbanded","","0","0","0","0","0","124","162","43","42","34","0","0","405"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, rosy","","0","0","0","0","42","0","0","2","3","0","0","0","47"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, splitnose","","0","0","0","590","32,168","0","0","0","0","0","0","0","32,758"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, squarespot","","0","0","0","0","0","0","0","0","0","0","16","0","16"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Fishes","","","","","","","","","","","","","",""
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, unspecified","","0","0","0","0","0","0","2","0","626","117","0","0","745"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, vermilion","","410","274","1,056","788","1,140","1,240","1,107","1,302","1,758","556","799","144","10,574"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, widow","","109","1","26","313","1,894","9","24","28","6","0","0","3","2,413"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Rockfish, yellowtail","","44","0","111","118","36","473","389","40","649","6","0","0","1,866"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Sablefish","","65,371","64,852","13,663","116,856","121,918","142,503","126,223","117,508","165,776","201,268","139,265","34,801","1,310,003"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Salmon, Chinook","","0","0","0","256","5,679","71","0","5,689","111,542","0","0","0","123,238"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Sanddab","","0","0","0","8,712","46,883","37,122","3,370","1,752","619","109","0","0","98,567"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Shad, American","","0","0","0","0","9","0","0","0","0","0","0","0","9"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Shark, soupfin","","0","0","0","0","50","0","0","0","0","0","0","0","50"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Shark, spiny dogfish","","0","0","0","90","7","0","0","0","0","0","0","0","97"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Skate, unspecified","","1,682","972","0","17,076","14,260","25,840","39,563","23,954","24,153","25,710","18,972","0","192,182"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Smelt, night","","2,301","7,656","9,914","14,459","29,576","48,105","49,469","7,779","212","0","0","0","169,471"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Smelt, surf","","117","0","0","294","6,116","45,575","34,516","29,484","170","0","0","0","116,272"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Sole, Dover","","298,184","344,060","4","433,801","325,272","331,060","294,859","396,135","458,531","715,505","498,219","100,468","4,196,098"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Sole, English","","58,387","10,426","0","17,272","41,369","24,814","31,115","27,787","16,118","6,783","6,570","9,128","249,769"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Sole, petrale","","202,971","106,646","0","27,041","62,601","40,345","71,136","25,813","29,579","18,762","36,807","110,010","731,711"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Sole, rex","","25,873","31,626","0","24,413","30,482","18,876","18,525","24,996","21,521","30,307","51,266","8,678","286,563"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Sole, sand","","0","0","0","0","0","0","0","0","0","99","0","0","99"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Surfperch, redtail","","0","485","3,452","2,249","0","0","0","4,393","1,253","0","0","40","11,872"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Surfperch, unspecified","","0","0","0","0","3","0","0","0","0","0","0","0","3"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Thornyhead, longspine","","54,361","50,403","0","36,880","41,321","82,743","52,542","70,579","63,493","112,022","63,838","1,644","629,826"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Thornyhead, shortspine","","22,133","19,627","57","22,318","22,106","29,765","15,033","24,124","16,466","30,499","30,035","6,451","238,614"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Thornyheads","","0","2,271","0","823","3,607","0","0","0","0","2,172","0","0","8,873"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Tuna, albacore","","40,142","0","0","0","0","5,184","30,747","32,310","212,946","651,456","0","2,720","975,505"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Turbot, curlfin","","0","0","0","0","0","0","0","0","0","5","0","0","5"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Whiting, Pacific","","0","0","0","1,554,043","4,986,516","0","0","0","0","0","0","0","6,540,559"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Crustaceans","","","","","","","","","","","","","",""
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Crab, Dungeness","","3,232,209","679,827","358,165","136,547","272,467","60,195","14,041","0","0","0","0","2,750,790","7,504,240"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Crab, rock unspecified","","0","0","0","0","0","0","0","0","0","0","0","230","230"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Shrimp, coonstriped","","0","0","0","0","8,523","1,052","882","3,071","3,626","4,988","0","0","22,142"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Shrimp, ocean (pink)","","0","0","0","0","0","144,248","236,021","192,377","55,358","0","0","0","628,004"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Echinoderms","Echinoderms","","","","","","","","","","","","","",""
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Echinoderms","Sea urchin, red","","0","0","0","0","0","0","2","0","0","0","0","0","2"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Mollusks","Mollusks","","","","","","","","","","","","","",""
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Mollusks","Mollusk, unspecified","","0","0","0","401","193","0","0","0","0","0","0","0","594"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Mollusks","Waters Area Total:","","4,038,051","1,354,922","406,498","2,526,646","6,192,068","1,182,719","1,167,860","1,349,225","1,407,116","2,056,116","975,542","3,030,677","25,687,439"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Fishes","","","","","","","","","","","","","",""
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Fishes","Tuna, albacore","","0","0","0","0","0","0","2,184","22,383","10,017","0","0","0","34,584"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Crustaceans","","","","","","","","","","","","","",""
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Shrimp, ocean (pink)","","0","0","0","0","0","0","0","0","8,917","0","0","0","8,917"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Waters Area Total:","","0","0","0","0","0","0","2,184","22,383","18,934","0","0","0","43,501"
2007,"landings07_table9.pdf","Eureka","Waters North Of State","Crustaceans","Grand Total:","","4,038,051","1,354,922","406,498","2,526,646","6,192,068","1,182,719","1,170,044","1,371,608","1,426,050","2,056,116","975,542","3,030,677","25,730,940"
